token,frequency,quant,%,action,value
Corned,1507,766231,39.85%,prep,
Chops,1502,767733,39.93%,adj,
Plain,1479,769212,40.01%,adj,
"Cheese,",1479,770691,40.09%,ing,
Bottle,1475,772166,40.16%,quant,
Mushroom,1472,773638,40.24%,ing,
Veau,1446,775084,40.31%,trans,Veal
Sherry,1443,776527,40.39%,ing,
One,1438,777965,40.46%,quant,
Les,1425,779390,40.54%,adj,
"Saute,",1401,780791,40.61%,prep,
Creamed,1400,782191,40.68%,prep,
Ribs,1392,783583,40.76%,ing,
M.,1384,784967,40.83%,,
Cakes,1381,786348,40.90%,prep,
Scotch,1374,787722,40.97%,ing,
Brown,1372,789094,41.04%,prep,
Celery,1368,790462,41.11%,ing,
"Cream,",1365,791827,41.19%,prep,
Our,1362,793189,41.26%,del,
Steamed,1361,794550,41.33%,prep,
Chop,1331,795881,41.40%,prep,
American,1325,797206,41.47%,region,
Clams,1312,798518,41.53%,ing,
Pineapple,1304,799822,41.60%,ing,
Spaghetti,1291,801113,41.67%,ing,
Brandy,1290,802403,41.74%,ing,
"Bacon,",1290,803693,41.80%,ing,
"Toast,",1289,804982,41.87%,ing,
Spinach,1283,806265,41.94%,ing,
"Mushrooms,",1282,807547,42.00%,ing,
Beer,1280,808827,42.07%,ing,
Calf'S,1279,810106,42.14%,adj,
Slaw,1279,811385,42.20%,prep,
Whiskey,1278,812663,42.27%,ing,
Braised,1275,813938,42.34%,prep,
"Lamb,",1272,815210,42.40%,ing,
Auf,1270,816480,42.47%,del,
From,1267,817747,42.53%,del,
Squab,1254,819001,42.60%,ing,
"Pudding,",1253,820254,42.66%,prep,
Fillet,1246,821500,42.73%,prep,
Vin,1241,822741,42.79%,trans,Wine
Co.,1231,823972,42.86%,,
Whipped,1227,825199,42.92%,prep,
"Tomato,",1226,826425,42.99%,ing,
Bass,1217,827642,43.05%,ing,
Hollandaise,1212,828854,43.11%,ing,
Scrambled,1209,830063,43.17%,prep,
"Lobster,",1208,831271,43.24%,ing,
"Soup,",1199,832470,43.30%,prep,
Large,1194,833664,43.36%,quant,
"Turkey,",1193,834857,43.42%,ing,
Rye,1191,836048,43.49%,ing,
"Oysters,",1189,837237,43.55%,ing,
Blue,1181,838418,43.61%,adj,
Beurre,1178,839596,43.67%,trans,Butter
"Coffee,",1170,840766,43.73%,ing,
Soft,1169,841935,43.79%,adj,
String,1169,843104,43.85%,prep,
Grand,1165,844269,43.91%,quant,
Chopped,1165,845434,43.97%,prep,
Puree,1164,846598,44.03%,prep,
Clam,1163,847761,44.09%,ing,
Island,1158,848919,44.16%,adj,
Vanilla,1154,850073,44.22%,adj,
Virginia,1150,851223,44.27%,region,
Casserole,1149,852372,44.33%,prep,
Toasted,1141,853513,44.39%,prep,
Onion,1136,854649,44.45%,ing,
Stew,1132,855781,44.51%,prep,
Maitre,1116,856897,44.57%,,
Young,1114,858011,44.63%,adj,
Fruits,1112,859123,44.69%,ing,
Swiss,1091,860214,44.74%,ing,
All,1083,861297,44.80%,,
Sausage,1078,862375,44.85%,ing,
Ale,1076,863451,44.91%,ing,
Champignons,1066,864517,44.97%,trans,Mushrooms
"Wine,",1066,865583,45.02%,ing,
Black,1065,866648,45.08%,adj,
Order,1060,867708,45.13%,adj,
"Salmon,",1060,868768,45.19%,ing,
Sour,1056,869824,45.24%,adj,
Rum,1054,870878,45.30%,ing,
Juice,1054,871932,45.35%,prep,
Boston,1042,872974,45.41%,region,
Blanc,1039,874013,45.46%,trans,White
Fine,1033,875046,45.51%,adj,
Leg,1031,876077,45.57%,adj,
California,1022,877099,45.62%,region,
"Sole,",1022,878121,45.67%,ing,
Sparkling,1012,879133,45.73%,adj,
"Sandwich,",1012,880145,45.78%,prep,
-2,1001,881146,45.83%,quant,2
Made,999,882145,45.88%,adj,
"Lettuce,",986,883131,45.93%,ing,
Spanish,978,884109,45.99%,region,
Bowl,976,885085,46.04%,quant,
Mignon,972,886057,46.09%,ing,
Tongue,967,887024,46.14%,ing,
"Egg,",963,887987,46.19%,ing,
Strawberry,961,888948,46.24%,ing,
Breaded,951,889899,46.29%,prep,
Crackers,951,890850,46.34%,ing,
Port,949,891799,46.39%,ing,
Ginger,939,892738,46.43%,ing,
Filets,939,893677,46.48%,prep,
Little,936,894613,46.53%,quant,
Burgundy,935,895548,46.58%,adj,
Oder,931,896479,46.63%,del,
Alla,930,897409,46.68%,del,
Boeuf,927,898336,46.73%,trans,Beef
Bordeaux,926,899262,46.77%,region,
Caviar,925,900187,46.82%,ing,
Italian,923,901110,46.87%,region,
"Tea,",921,902031,46.92%,ing,
Punch,921,902952,46.97%,prep,
Cranberry,919,903871,47.01%,ing,
Parsley,917,904788,47.06%,ing,
Foie,917,905705,47.11%,trans,Liver
Art,912,906617,47.16%,,
Julienne,907,907524,47.20%,prep,
Buttered,902,908426,47.25%,prep,
Creole,898,909324,47.30%,adj,
Long,898,910222,47.34%,quant,
"Beans,",896,911118,47.39%,ing,
"Chops,",893,912011,47.44%,ing,
Crisp,892,912903,47.48%,adj,
Meuniere,891,913794,47.53%,prep,
Parisienne,891,914685,47.58%,region,
Loin,891,915576,47.62%,prep,
Jumbo,890,916466,47.67%,quant,
Saddle,888,917354,47.71%,,
Con,882,918236,47.76%,del,
"Onions,",882,919118,47.81%,ing,
"Rice,",878,919996,47.85%,ing,
Von,875,920871,47.90%,,
Scallops,872,921743,47.94%,ing,
Mint,867,922610,47.99%,ing,
Frites,864,923474,48.03%,prep,
Des,862,924336,48.08%,,
Combination,862,925198,48.12%,adj,
"Bass,",860,926058,48.17%,ing,
Sauteed,855,926913,48.21%,prep,
Potage,854,927767,48.26%,trans,Soup
Noodles,850,928617,48.30%,ing,
Bordelaise,845,929462,48.34%,region,
Dinner,842,930304,48.39%,,
Imperial,839,931143,48.43%,,
Golden,837,931980,48.48%,adj,
Maryland,834,932814,48.52%,region,
Duck,833,933647,48.56%,ing,
Med,833,934480,48.61%,,
Country,820,935300,48.65%,,
Your,819,936119,48.69%,,
"Tomatoes,",818,936937,48.73%,ing,
Cut,817,937754,48.78%,prep,
Nach,806,938560,48.82%,del,
Vinaigrette,803,939363,48.86%,prep,
Sweetbread,803,940166,48.90%,ing,
Double,794,940960,48.94%,quant,
"Peas,",793,941753,48.98%,ing,
Sweetbreads,792,942545,49.02%,ing,
Wheat,787,943332,49.07%,ing,
D'Hotel,787,944119,49.11%,trans,House
House,787,944906,49.15%,adj,
Royal,786,945692,49.19%,adj,
"Juice,",785,946477,49.23%,prep,
Riesling,783,947260,49.27%,ing,
D'Agneau,777,948037,49.31%,trans,Lamb
Poulet,777,948814,49.35%,trans,Chicken
Currant,775,949589,49.39%,ing,
Bearnaise,773,950362,49.43%,prep,
Cooked,769,951131,49.47%,prep,
Curry,768,951899,49.51%,prep,
York,765,952664,49.55%,region,
Minced,761,953425,49.59%,prep,
Peach,761,954186,49.63%,ing,
(For,759,954945,49.67%,,
Home,755,955700,49.71%,,
Tartare,753,956453,49.75%,prep,
Claret,753,957206,49.79%,ing,
Broth,752,957958,49.83%,prep,
J.,751,958709,49.87%,,
Portion,750,959459,49.90%,quant,
Syrup,747,960206,49.94%,prep,
3,743,960949,49.98%,quant,
Cognac,742,961691,50.02%,ing,
Russian,740,962431,50.06%,region,
Philadelphia,740,963171,50.10%,region,
Volaille,740,963911,50.14%,trans,Chicken
Madeira,736,964647,50.17%,region,
Plate,735,965382,50.21%,quant,
Trout,733,966115,50.25%,ing,
Sorbet,733,966848,50.29%,prep,
Hamburger,731,967579,50.33%,ing,
Omelet,731,968310,50.37%,prep,
Roasted,730,969040,50.40%,prep,
Olives,727,969767,50.44%,ing,
Shrimps,727,970494,50.48%,ing,
"Champagne,",727,971221,50.52%,ing,
Pepper,726,971947,50.55%,adj,
Hard,723,972670,50.59%,adj,
Kartoffeln,723,973393,50.63%,trans,Potato
Roll,718,974111,50.67%,ing,
Gin,718,974829,50.70%,ing,
Rib,718,975547,50.74%,ing,
German,718,976265,50.78%,region,
"Dressing,",718,976983,50.82%,prep,
Hash,716,977699,50.85%,prep,
Brot,714,978413,50.89%,prep,
Jus,712,979125,50.93%,prep,
Sauerkraut,707,979832,50.96%,ing,
Iced,707,980539,51.00%,adj,
Gras,706,981245,51.04%,adj,
Grape,704,981949,51.07%,ing,
Sur,702,982651,51.11%,,
Al,700,983351,51.15%,,
Garden,700,984051,51.18%,adj,
"Vegetables,",698,984749,51.22%,ing,
Avec,697,985446,51.26%,,
Rhine,695,986141,51.29%,region,
Souffle,694,986835,51.33%,prep,
Fines,694,987529,51.36%,adj,
Rose,694,988223,51.40%,ing,
Cabbage,693,988916,51.44%,ing,
W.,693,989609,51.47%,,
Petits,692,990301,51.51%,quant,
Louis,691,990992,51.54%,,
Halibut,691,991683,51.58%,ing,
Newburg,688,992371,51.62%,region,
Saumon,688,993059,51.65%,trans,Salmon
"Clams,",687,993746,51.69%,ing,
Baby,684,994430,51.72%,adj,
Ou,678,995108,51.76%,,
King,677,995785,51.79%,adj,
No.,677,996462,51.83%,,
"Bread,",676,997138,51.86%,ing,
Vom,676,997814,51.90%,,
Mousse,674,998488,51.93%,prep,
Dish,673,999161,51.97%,quant,
Gravy,671,999832,52.00%,ing,
"Ale,",670,1000502,52.04%,ing,
Vintage,669,1001171,52.07%,,
"Potato,",666,1001837,52.11%,ing,
Coupe,666,1002503,52.14%,quant,
Tips,664,1003167,52.18%,,
Herring,656,1003823,52.21%,ing,
Soda,655,1004478,52.25%,ing,
Chow,654,1005132,52.28%,prep,
Guinea,653,1005785,52.31%,region,
Chilled,650,1006435,52.35%,prep,
Bean,647,1007082,52.38%,ing,
Pan,646,1007728,52.42%,quant,
Capon,645,1008373,52.45%,ing,
Boneless,640,1009013,52.48%,adj,
H.,638,1009651,52.52%,,
Individual,637,1010288,52.55%,quant,
Chinese,636,1010924,52.58%,region,
Head,634,1011558,52.61%,adj,
Garlic,634,1012192,52.65%,ing,
Planked,632,1012824,52.68%,prep,
"Tongue,",632,1013456,52.71%,ing,
Browned,630,1014086,52.75%,prep,
Chef'S,627,1014713,52.78%,adj,
Pate,626,1015339,52.81%,prep,
Turtle,626,1015965,52.84%,ing,
Cutlet,623,1016588,52.88%,ing,
Cherry,622,1017210,52.91%,ing,
Cafe,622,1017832,52.94%,,
Dessert,621,1018453,52.97%,prep,
Pickled,619,1019072,53.01%,prep,
An,619,1019691,53.04%,del,
Deviled,617,1020308,53.07%,prep,
Neck,615,1020923,53.10%,adj,
Peppers,613,1021536,53.13%,ing,
Chips,611,1022147,53.17%,ing,
(2,611,1022758,53.20%,,
Three,610,1023368,53.23%,quant,
Fils,607,1023975,53.26%,,
Sauterne,606,1024581,53.29%,,
"Co.,",606,1025187,53.32%,,
Shad,605,1025792,53.35%,ing,
"Veal,",605,1026397,53.39%,ing,
Rock,604,1027001,53.42%,,
Cottage,602,1027603,53.45%,adj,
Duckling,602,1028205,53.48%,ing,
Remoulade,598,1028803,53.51%,ing,
Ris,598,1029401,53.54%,,
Compote,598,1029999,53.57%,prep,
Roquefort,596,1030595,53.60%,ing,
Irish,595,1031190,53.64%,region,
Pint,595,1031785,53.67%,quant,
Fricassee,593,1032378,53.70%,prep,
"Chop,",592,1032970,53.73%,prep,
Gelee,591,1033561,53.76%,trans,Jelly
-1,591,1034152,53.79%,del,
Own,590,1034742,53.82%,del,
Seafood,589,1035331,53.85%,ing,
Tossed,588,1035919,53.88%,prep,
Domestic,587,1036506,53.91%,adj,
Oeufs,587,1037093,53.94%,trans,Egg
U.,586,1037679,53.97%,,
Topped,586,1038265,54.00%,,
Any,585,1038850,54.03%,,
By,583,1039433,54.06%,,
Fries,583,1040016,54.09%,ing,
Chablis,581,1040597,54.12%,region,
Label,578,1041175,54.15%,,
Tasse,577,1041752,54.18%,trans,Cup
Jambon,572,1042324,54.21%,trans,Ham
G.,571,1042895,54.24%,,
Homard,570,1043465,54.27%,trans,Lobster
Fritters,568,1044033,54.30%,ing,
Mode,568,1044601,54.33%,ing,
Croutons,567,1045168,54.36%,ing,
Breakfast,567,1045735,54.39%,adj,
Croquettes,567,1046302,54.42%,prep,
Canape,567,1046869,54.45%,ing,
Is,567,1047436,54.48%,del,
Carrots,566,1048002,54.51%,ing,
Hashed,562,1048564,54.54%,prep,
Canadian,560,1049124,54.57%,region,
Maple,558,1049682,54.60%,ing,
Home-Made,558,1050240,54.63%,adj,
Melon,557,1050797,54.66%,ing,
Parfait,554,1051351,54.68%,prep,
Whisky,553,1051904,54.71%,ing,
Livers,552,1052456,54.74%,ing,
Haut,549,1053005,54.77%,,
Herbes,549,1053554,54.80%,,
Pickle,549,1054103,54.83%,ing,
Macaroni,548,1054651,54.86%,ing,
Pois,548,1055199,54.88%,trans,Peas
Frais,544,1055743,54.91%,trans,Ffesh
Crabmeat,541,1056284,54.94%,ing,
Custard,540,1056824,54.97%,ing,
Light,538,1057362,55.00%,adj,
Honey,536,1057898,55.02%,ing,
Grapefruit,536,1058434,55.05%,ing,
Romaine,535,1058969,55.08%,ing,
"Fried,",533,1059502,55.11%,prep,
"Scallops,",533,1060035,55.14%,ing,
"Trout,",531,1060566,55.16%,ing,
Rouge,531,1061097,55.19%,?,
Mumm,529,1061626,55.22%,brand,
Roti,529,1062155,55.25%,ing,
"Pork,",528,1062683,55.27%,ing,
Deep,527,1063210,55.30%,adj,
Schinken,525,1063735,55.33%,trans,Ham
Marinated,525,1064260,55.36%,prep,
Shredded,524,1064784,55.38%,prep,
Pale,523,1065307,55.41%,adj,
Terrine,523,1065830,55.44%,ing,
--,522,1066352,55.46%,,
Sugar,521,1066873,55.49%,ing,
"Shrimp,",520,1067393,55.52%,ing,
Split,519,1067912,55.55%,prep,
Hearts,519,1068431,55.57%,adj,
"Consomme,",518,1068949,55.60%,prep,
"Whiskey,",517,1069466,55.63%,ing,
C.,515,1069981,55.65%,quant,
Ragout,514,1070495,55.68%,prep,
Grille,511,1071006,55.71%,prep,
Lyonnaise,510,1071516,55.73%,region,
Wiener,510,1072026,55.76%,ing,
"Asparagus,",509,1072535,55.79%,ing,
Sec,506,1073041,55.81%,,
Crabs,505,1073546,55.84%,ing,
P.,503,1074049,55.86%,,
Drawn,502,1074551,55.89%,prep,
Codfish,501,1075052,55.92%,ing,
Pear,501,1075553,55.94%,ing,
Minute,501,1076054,55.97%,?,
Gold,497,1076551,55.99%,adj,
Horseradish,495,1077046,56.02%,ing,
Wild,495,1077541,56.05%,adj,
Reine,493,1078034,56.07%,adj,
Kidney,487,1078521,56.10%,ing,
Slices,487,1079008,56.12%,prep,
Southern,487,1079495,56.15%,region,
Moet,485,1079980,56.17%,brand,
Russe,483,1080463,56.20%,region,
Parmesan,483,1080946,56.22%,ing,
Grill,483,1081429,56.25%,prep,
Very,482,1081911,56.27%,adj,
"Fish,",481,1082392,56.30%,ing,
"""",480,1082872,56.32%,,
Florida,480,1083352,56.35%,region,
Pickles,479,1083831,56.37%,ing,
"Spinach,",479,1084310,56.40%,ing,
Petit,476,1084786,56.42%,adj,
Porterhouse,474,1085260,56.45%,ing,
"Mackerel,",474,1085734,56.47%,ing,
Beverage,473,1086207,56.50%,ing,
Giblet,471,1086678,56.52%,quant,
Cucumber,471,1087149,56.55%,ing,
Raspberry,469,1087618,56.57%,ing,
Platter,469,1088087,56.60%,quant,
"Slaw,",468,1088555,56.62%,ing,
Moselle,468,1089023,56.64%,region,
"Omelette,",467,1089490,56.67%,prep,
Pure,466,1089956,56.69%,prep,
Reserve,465,1090421,56.72%,adj,
"Milk,",463,1090884,56.74%,ing,
"Casserole,",463,1091347,56.76%,prep,
Sherbet,461,1091808,56.79%,prep,
"Brandy,",461,1092269,56.81%,ing,
Melted,460,1092729,56.84%,prep,
Kirsch,458,1093187,56.86%,ing,
"Pie,",457,1093644,56.88%,prep,
Live,457,1094101,56.91%,prep,
Herbs,456,1094557,56.93%,ing,
Bourbon,456,1095013,56.96%,ing,
Jardiniere,454,1095467,56.98%,ing,
Tournedos,454,1095921,57.00%,ing,
"Breaded,",453,1096374,57.03%,prep,
Striped,453,1096827,57.05%,,
Terre,453,1097280,57.07%,adj,
Frische,452,1097732,57.10%,trans,Fresh
"Sweetbreads,",452,1098184,57.12%,ing,
Maison,452,1098636,57.14%,trans,House
Brochette,451,1099087,57.17%,prep,
Shirred,449,1099536,57.19%,prep,
Raw,448,1099984,57.21%,prep,
Maine,448,1100432,57.24%,region,
Kidneys,447,1100879,57.26%,ing,
Sardines,447,1101326,57.28%,ing,
Sauce.,446,1101772,57.31%,prep,
Mousseline,446,1102218,57.33%,prep,
Cresson,443,1102661,57.35%,trans,Watercress
Sausages,442,1103103,57.38%,ing,
L'Anglaise,442,1103545,57.40%,region,
Dozen,441,1103986,57.42%,quant,
Mustard,441,1104427,57.44%,ing,
Hors,441,1104868,57.47%,adj,
Peaches,441,1105309,57.49%,ing,
Salt,440,1105749,57.51%,ing,
"Cakes,",439,1106188,57.54%,prep,
Sahne,439,1106627,57.56%,trans,Cream
Fromage,439,1107066,57.58%,prep,
Frozen,438,1107504,57.60%,prep,
Legs,435,1107939,57.63%,ing,
Brook,434,1108373,57.65%,?,
Homemade,433,1108806,57.67%,adj,
"Claret,",432,1109238,57.70%,ing,
Calvet,430,1109668,57.72%,?,
Bay,430,1110098,57.74%,?,
Fancy,429,1110527,57.76%,adj,
Slice,428,1110955,57.78%,quant,
Hen,427,1111382,57.81%,ing,
"Halibut,",426,1111808,57.83%,ing,
Lima,425,1112233,57.85%,ing,
Yellow,425,1112658,57.87%,adj,
Biscuit,425,1113083,57.90%,ing,
Cabinet,422,1113505,57.92%,ing,
"Beer,",422,1113927,57.94%,ing,
Mineral,422,1114349,57.96%,adj,
Banana,421,1114770,57.98%,ing,
Der,419,1115189,58.00%,,
A.,419,1115608,58.03%,,
Reis,419,1116027,58.05%,,
Anchovy,418,1116445,58.07%,ing,
Biscuits,418,1116863,58.09%,ing,
Beefsteak,417,1117280,58.11%,ing,
E,417,1117697,58.14%,,
Clos,415,1118112,58.16%,,
Pitcher,415,1118527,58.18%,quant,
Sc.,414,1118941,58.20%,,
Cod,413,1119354,58.22%,ing,
Noisette,413,1119767,58.24%,prep,
Pastry,412,1120179,58.26%,prep,
Bermuda,411,1120590,58.29%,region,
Garnished,410,1121000,58.31%,adj,
Original,409,1121409,58.33%,adj,
Spiced,409,1121818,58.35%,adj,
Apples,408,1122226,58.37%,ing,
"Cutlet,",408,1122634,58.39%,ing,
"Duckling,",408,1123042,58.41%,ing,
Apricot,408,1123450,58.43%,ing,
"Vegetable,",408,1123858,58.46%,ing,
"Style,",407,1124265,58.48%,adj,
Co,407,1124672,58.50%,,
Tender,407,1125079,58.52%,adj,
(Half),406,1125485,58.54%,quant,
Dill,406,1125891,58.56%,ing,
"Rolls,",405,1126296,58.58%,ing,
Chantilly,402,1126698,58.60%,ing,
Candied,401,1127099,58.62%,prep,
Ox,399,1127498,58.64%,ing,
"Broiled,",397,1127895,58.67%,prep,
Martini,397,1128292,58.69%,ing,
Cutlets,396,1128688,58.71%,ing,
Cereal,394,1129082,58.73%,ing,
Champagne:,394,1129476,58.75%,ing,
Roastbeef,393,1129869,58.77%,ing,
Paprika,393,1130262,58.79%,ing,
Chocolat,392,1130654,58.81%,ing,
Garni,391,1131045,58.83%,prep,
Tuna,391,1131436,58.85%,ing,
Strawberries,390,1131826,58.87%,ing,
Lake,389,1132215,58.89%,?,
"Jelly,",389,1132604,58.91%,prep,
Table,388,1132992,58.93%,,
Vienna,387,1133379,58.95%,region,
Plum,386,1133765,58.97%,ing,
"Meat,",385,1134150,58.99%,ing,
Freres,385,1134535,59.01%,?,
Milanaise,384,1134919,59.03%,prep,
Provencale,384,1135303,59.05%,prep,
Beets,384,1135687,59.07%,ing,
Clear,384,1136071,59.09%,adj,
Jour,381,1136452,59.11%,adj,
Famous,380,1136832,59.13%,adj,
Mein,380,1137212,59.15%,prep,
Broccoli,380,1137592,59.17%,ing,
Turbot,379,1137971,59.19%,ing,
Person,379,1138350,59.21%,quant,
Vermouth,378,1138728,59.23%,ing,
Cured,378,1139106,59.25%,prep,
Saratoga,377,1139483,59.27%,region,
"Capon,",376,1139859,59.29%,region,
"Fritters,",374,1140233,59.31%,prep,
"Bluefish,",373,1140606,59.33%,ing,
Escalope,373,1140979,59.35%,prep,
Wine:,373,1141352,59.37%,ing,
Cruse,372,1141724,59.38%,,
As,371,1142095,59.40%,del,
Gateau,371,1142466,59.42%,prep,
Chili,371,1142837,59.44%,ing,
"Dry,",369,1143206,59.46%,adj,
"Sherry,",368,1143574,59.48%,ing,
Cigars,368,1143942,59.50%,ing,
Bombe,366,1144308,59.52%,prep,
Cabernet,366,1144674,59.54%,ing,
Food,365,1145039,59.56%,del,
Fillets,365,1145404,59.58%,prep,
"Bordeaux,",364,1145768,59.60%,region,
Canard,364,1146132,59.61%,trans,Duck
"Burgundy,",364,1146496,59.63%,region,
Bisque,363,1146859,59.65%,prep,
Glaces,363,1147222,59.67%,trans,Glazed
Oil,363,1147585,59.69%,ing,
Liqueur,363,1147948,59.71%,ing,
Box,362,1148310,59.73%,quant,
"Mutton,",362,1148672,59.75%,ing,
Melba,362,1149034,59.77%,ing,
Seal,361,1149395,59.78%,ing,
Dark,361,1149756,59.80%,adj,
Boned,360,1150116,59.82%,prep,
Colbert,360,1150476,59.84%,prep,
1/4,359,1150835,59.86%,quant,
Francaise,359,1151194,59.88%,prep,
