id,price,high_price
289976,0.75,0.4
289979,0.75,0.4
289981,0.6,0.35
294172,1,0.6
294173,1.5,0.8
294175,0.75,0.4
294188,1.25,0.7
294189,2,1
294192,4,2
294199,1,0.6
294201,2.5,1.25
294202,1.5,0.8
294208,0.6,0.35
294209,0.75,0.4
294211,1,0.6
294212,0.75,0.4
294213,0.8,0.45
294214,0.75,0.4
294215,0.6,0.35
294216,0.5,0.3
294217,0.5,0.3
294219,0.6,0.35
294230,0.75,0.4
294231,0.5,0.3
294233,0.4,0.25
295742,1.5,0.75
295746,2,1
295749,2.5,1.25
295753,3,1.5
295760,4,2
295764,4.5,2.25
295769,4,2
295778,4,2
295781,4.5,2.5
295782,4,2
295783,1.25,0.65
295784,1.5,0.75
295786,2.5,1.25
295789,4,2
295791,4,2
295794,4,2
295798,3.5,1.75
295800,4,2
295801,4,2
295802,2.5,1.25
295809,0.75,0.4
295811,1,0.5
295815,1.25,0.65
295817,1,0.5
295819,1.5,0.75
295906,4,2
298151,2,1
299969,1.75,1
301710,12,1.25
301711,12,1.5
301713,12,2.5
301715,12,1.25
301718,12,1.25
305252,0.5,0.2
305274,10,5.6
308551,2,1
308553,2.5,1.25
308554,2.5,1.5
308656,5,1
313674,60,35
320374,60,1
322232,0.5,0.3
322525,0.7,0.3
324227,2.5,1.25
326862,0.7,0.4
326870,1.5,1
326912,0.6,0.4
326913,0.6,0.4
330747,90,1.5
332783,0.4,0.25
332790,0.75,0.4
332811,0.4,0.25
332814,0.3,0.2
332818,0.4,0.25
333767,2.5,1.25
333768,2.5,1.25
333769,2.5,1.25
333775,0.5,0.3
333778,0.6,0.35
333796,0.8,0.45
333797,1.25,0.65
333798,0.8,0.45
333801,1,0.55
333804,0.6,0.35
333813,0.5,0.3
333816,0.85,0.45
333818,0.9,0.5
333820,0.9,0.5
333823,1,0.5
333824,0.5,0.1
333828,0.15,0.1
333830,0.15,0.1
333835,0.25,0.15
333909,1.3,0.1
333912,2.5,0.1
333914,1.4,0.1
333916,1.4,0.1
333917,1.4,0.1
337648,0.25,0.15
343246,0.4,0.15
343247,0.4,0.15
343257,0.3,0.15
343259,0.3,0.15
343262,0.3,0.15
343285,2.25,1.1
343286,1,0.6
343319,0.35,0.2
347193,0.5,0.1
347613,0.5,0.1
348694,0.4,0.25
354560,0.5,0.35
354562,0.5,0.35
358025,3.5,3
370305,0.4,0.25
370349,0.5,0.3
370353,0.4,0.2
370354,0.4,0.25
370355,0.5,0.3
370356,0.5,0.15
370370,0.75,0.4
370371,1,0.5
370372,1,0.5
370373,1.5,0.75
370374,1.5,0.75
370375,2,1
370376,1,0.5
370377,1,0.5
370378,1,0.5
370379,1,0.5
370380,1.5,0.75
370383,0.4,0.25
370394,0.4,0.2
370396,0.4,0.2
370398,0.2,0.1
379335,0.5,0.1
379783,0.6,0.35
379785,0.7,0.4
379788,0.5,0.3
379790,0.6,0.35
379797,0.7,0.4
379806,0.7,0.4
379816,0.8,0.45
379817,0.9,0.5
379818,1,0.6
379819,1.15,0.6
379820,0.85,0.45
379825,0.75,0.4
379830,0.75,0.4
379831,0.75,0.4
379838,2,1
379844,0.9,0.5
379845,0.9,0.5
379846,0.6,0.35
379848,1.5,0.8
379849,1,0.6
379850,2.5,1.25
379851,0.6,0.35
379852,0.8,0.45
379853,0.75,0.4
379854,0.5,0.3
379859,0.5,0.3
379860,0.5,0.3
379862,0.5,0.3
379869,0.5,0.3
379903,0.5,0.3
379905,0.3,0.2
379910,0.75,0.4
381555,1.75,1
381818,0.5,0.1
386106,2.5,1.4
390110,6.25,0.65
390361,2.5,1.25
392116,35,6
392134,35,6
392139,35,6
392169,35,6
392198,6,1
392250,125,25
392269,35,6
392302,6,1
392305,125,25
392307,45,8
392338,35,6
392343,35,6
392452,35,6
392456,35,6
392458,35,6
392468,35,6
392474,6,1
392483,125,25
392494,6,1
392496,125,25
392498,35,6
392499,45,8
392509,35,6
392511,35,6
397661,0.6,0.35
397662,0.5,0.3
397663,0.6,0.35
397664,0.6,0.35
397671,0.7,0.4
397672,0.7,0.4
397673,0.7,0.4
397674,0.9,0.5
397678,0.9,0.5
397681,1.15,0.6
397682,0.7,0.4
397684,1,0.6
397686,0.75,0.4
397689,2.5,1.25
397693,2,1
397696,0.75,0.4
397698,0.9,0.5
397699,0.6,0.35
397700,1.5,0.8
397702,1,0.6
397703,2.5,1.25
397704,1,0.6
397705,0.75,0.4
397706,0.75,0.4
397707,0.6,0.35
397708,0.75,0.4
397710,0.75,0.4
397712,0.6,0.35
397714,0.5,0.3
397715,0.6,0.35
397721,0.5,0.3
397723,0.5,0.3
397725,0.5,0.2
397746,0.5,0.3
397748,0.5,0.3
397751,0.75,0.4
397791,0.6,0.35
397794,0.5,0.3
397798,0.6,0.35
397800,0.6,0.35
397814,0.7,0.4
397815,0.7,0.4
397816,0.7,0.4
397817,0.9,0.5
397821,0.9,0.5
397823,1.15,0.6
397825,0.7,0.4
397827,1,0.6
397829,0.75,0.4
397831,2.5,1.25
397836,2,1
397840,0.9,0.5
397841,1,0.6
397842,2.5,1.25
397843,0.75,0.4
397844,1.5,0.8
397848,0.6,0.35
397849,1,0.6
397850,0.75,0.4
397851,0.75,0.4
397852,0.6,0.35
397854,0.6,0.35
397855,0.75,0.4
397856,0.75,0.4
397857,0.5,0.3
397860,0.6,0.35
397868,0.5,0.3
397870,0.5,0.3
397872,0.5,0.3
397882,0.75,0.4
397886,0.5,0.3
397888,0.5,0.3
398054,1.5,0.8
398057,0.4,0.25
398059,0.75,0.4
398061,0.5,0.3
398065,0.6,0.35
398068,0.6,0.35
398071,0.5,0.3
398074,0.5,0.3
398085,0.6,0.35
398092,0.7,0.4
398095,0.5,0.3
398230,0.5,0.1
398269,0.5,0.2
398271,0.5,0.2
399073,25,4
399280,35,6
399544,6,1
399568,35,6
399649,45,8
400382,1.75,1
403382,35,6
403648,45,8
404374,125,25
405655,25,4
409533,75,1.5
409657,60,1.2
409777,75,1.5
410230,50,6
412454,0.5,0.1
412457,0.5,0.1
417910,0.75,0.4
430527,0.2,0.15
436482,30,0.5
442521,0.2,0.1
442525,0.1,0.05
442529,0.5,0.15
444167,1,0.6
444169,0.6,0.35
444171,0.7,0.4
444172,0.6,0.35
444173,0.6,0.35
444174,0.7,0.4
444175,0.6,0.35
444176,0.7,0.4
444177,1.5,0.75
444178,0.9,0.5
444179,1,0.6
444180,0.6,0.35
444181,0.6,0.35
444182,0.75,0.4
444183,1,0.6
444184,0.6,0.35
444185,0.6,0.35
444186,0.6,0.35
444187,0.6,0.35
444188,2,1
444199,0.6,0.35
444200,0.5,0.3
444201,0.6,0.35
444202,0.6,0.35
444208,0.8,0.45
444209,0.85,0.45
446086,35,1
447911,25,20
452687,0.5,0.25
455654,5,1
455667,35,6
455671,35,6
458042,0.5,0.1
458300,0.6,0.35
458309,0.3,0.2
462100,4,0.15
462353,0.8,0.45
462363,0.9,0.5
462368,0.9,0.5
463406,65,1.25
464674,0.8,0.45
470737,35,0.65
471911,0.7,0.4
473740,0.5,0.1
475256,0.5,0.1
475257,0.5,0.1
476077,0.3,0.15
476420,65,1.25
486378,8,6
490862,600,80
496379,27,18.5
496380,27,18.5
502686,0.75,0.4
502831,2.5,1.25
502841,2,1
502915,0.6,0.35
502918,2.5,1.25
502921,0.75,0.4
503162,0.75,0.4
503329,1.5,0.4
503404,11.4,8.9
503405,8.8,6.3
503880,10.4,7.6
503885,10.5,7.7
503893,10.5,7.7
503903,10.5,7.7
516903,7,3.8
519278,0.75,0.5
519476,28.5,14
524329,20,4
524709,62,36
524712,50,28
524713,50,24
524720,51,28
526149,5.8,3
526290,5.8,3
526327,5.8,3
526676,2.3,1.3
526677,2.4,1.4
526706,24.3,19.21
526985,395,260
532695,1.6,0.55
533603,19,10
533671,21,12.11
568361,0.3,0.2
569117,15,0.25
569924,1,0.4
573039,0.75,0.45
573066,0.6,0.12
574897,2.25,1.25
576157,2.5,1.4
576214,12,1.25
578404,0.6,0.2
578408,0.6,0.2
578410,12,0.25
578413,0.6,0.12
580656,1,0.65
583159,0.75,0.45
583572,1.5,0.9
589921,1.5,0.9
592742,2.5,1.4
594850,0.65,0.1
597332,49,34
597337,46,32
598363,12,6.5
598653,12,1.25
599899,14,8
607241,370,355
607673,370,355
608602,13.75,6.75
608604,375,7.25
611793,23.5,13
613829,120,90
613979,110,95
614033,85,65
614072,85,65
614085,80,60
622174,5.25,3.95
625512,25,0.35
627248,2,1.55
630581,12,6.5
645144,3.5,2
645145,3.5,2
645146,3.5,2
645147,3.5,2
645148,3.5,2
645149,3.5,2
645150,6.5,3.75
645151,7.25,4
645152,7.25,4
645183,14,7.5
649273,0.45,0.05
649298,8,0.82
651682,0.35,0.25
657464,12.5,10.75
658091,10,6
658096,13,7
662028,1.65,0.45
663968,0.35,0.25
663969,0.3,0.2
666856,2,1.25
666857,1.6,0.85
670303,0.9,0.1
